Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;MA;SAO LUIS;AUTO POSTO DIPLOMATA LTDA.; 04.687.092/0001-80;RUA H 20;1;QD 10 LT 1/2;PARQUE SHALOM;65073-000;GASOLINA;03/10/2022;5,49;;R$ / litro;VIBRA ENERGIA
NE;MA;SAO LUIS;F. M. M. CORREIA DERIVADOS DE PETROLEO EIRELI; 06.038.697/0001-76;AVENIDA JERONIMO DE ALBUQUERQUE;2000;LOJA 1;COHAFUMA;65070-210;GASOLINA;03/10/2022;4,38;;R$ / litro;BRANCA
NE;MA;SAO LUIS;F. M. M. CORREIA DERIVADOS DE PETROLEO EIRELI; 06.038.697/0001-76;AVENIDA JERONIMO DE ALBUQUERQUE;2000;LOJA 1;COHAFUMA;65070-210;ETANOL;03/10/2022;4,38;;R$ / litro;BRANCA
NE;MA;SAO LUIS;AUTO POSTO BARBOZA LTDA; 05.697.124/0001-91;RUA V;1;QUADRA 22;PLANALTO ANIL III;65066-290;GASOLINA;03/10/2022;4,89;;R$ / litro;VIBRA ENERGIA
NE;MA;SAO LUIS;AUTO POSTO BARBOZA LTDA; 05.697.124/0001-91;RUA V;1;QUADRA 22;PLANALTO ANIL III;65066-290;ETANOL;03/10/2022;4,39;;R$ / litro;VIBRA ENERGIA
NE;MA;SAO LUIS;AUTO POSTO BARBOZA LTDA; 05.697.124/0001-91;RUA V;1;QUADRA 22;PLANALTO ANIL III;65066-290;GASOLINA ADITIVADA;03/10/2022;4,99;;R$ / litro;VIBRA ENERGIA
NE;MA;SAO LUIS;COIMBRA & SANTIAGO LTDA; 02.738.944/0001-96;AVENIDA DOS PORTUGUESES;5;;VILA BACANGA;65099-110;GASOLINA;03/10/2022;4,58;;R$ / litro;BRANCA
NE;MA;SAO LUIS;COIMBRA & SANTIAGO LTDA; 02.738.944/0001-96;AVENIDA DOS PORTUGUESES;5;;VILA BACANGA;65099-110;ETANOL;03/10/2022;4,09;;R$ / litro;BRANCA
NE;MA;SAO LUIS;COIMBRA & SANTIAGO LTDA; 02.738.944/0001-96;AVENIDA DOS PORTUGUESES;5;;VILA BACANGA;65099-110;GASOLINA ADITIVADA;03/10/2022;4,68;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO PINGUIM LTDA - ME; 07.521.677/0001-14;AVENIDA SANTOS DUMONT;66;A;SAO CRISTOVAO;65046-660;GASOLINA;03/10/2022;4,39;;R$ / litro;ALESAT
NE;MA;SAO LUIS;COMERCIAL PETROMAR LTDA; 06.302.616/0001-01;AVENIDA PRESIDENTE KENNEDY;SN;;CENTRO;65025-001;GASOLINA;03/10/2022;4,39;;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;COMERCIAL PETROMAR LTDA; 06.302.616/0001-01;AVENIDA PRESIDENTE KENNEDY;SN;;CENTRO;65025-001;ETANOL;03/10/2022;4,99;;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;COMERCIAL PETROMAR LTDA; 06.302.616/0001-01;AVENIDA PRESIDENTE KENNEDY;SN;;CENTRO;65025-001;GASOLINA ADITIVADA;03/10/2022;4,79;;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;POSTO DE SERVICOS J. M. LTDA.; 03.778.534/0002-12;AVENIDA CASEMIRO JUNIOR;200;A;ANIL;65045-180;GASOLINA;03/10/2022;4,33;;R$ / litro;BRANCA
NE;MA;SAO LUIS;REVENDEDORA DE PETROLEO SAO MARCOS LTDA; 03.205.789/0001-05;AVENIDA DOS HOLANDESES;201;;SAO MARCOS;65099-110;GASOLINA;03/10/2022;4,54;;R$ / litro;BRANCA
NE;MA;SAO LUIS;REVENDEDORA DE PETROLEO SAO MARCOS LTDA; 03.205.789/0001-05;AVENIDA DOS HOLANDESES;201;;SAO MARCOS;65099-110;ETANOL;03/10/2022;3,98;;R$ / litro;BRANCA
NE;MA;SAO LUIS;REVENDEDORA DE PETROLEO SAO MARCOS LTDA; 03.205.789/0001-05;AVENIDA DOS HOLANDESES;201;;SAO MARCOS;65099-110;GASOLINA ADITIVADA;03/10/2022;4,54;;R$ / litro;BRANCA
NE;MA;SAO LUIS;PIT STOP DERIVADOS DE PETROLEO LTDA; 03.001.934/0001-36;AVENIDA EDSON BRANDAO;10;;ANIL;65045-380;GASOLINA;03/10/2022;4,35;;R$ / litro;SABBÁ
NE;MA;SAO LUIS;NEWS SHOPPING PONTA DAREIA LTDA; 01.861.510/0001-16;AVENIDA DOS HOLANDESES;SN;QDA 22,LOTE 01;PONTA DAREIA;65099-110;GASOLINA;03/10/2022;4,54;;R$ / litro;SABBÁ
NE;MA;SAO LUIS;NEWS SHOPPING PONTA DAREIA LTDA; 01.861.510/0001-16;AVENIDA DOS HOLANDESES;SN;QDA 22,LOTE 01;PONTA DAREIA;65099-110;GASOLINA ADITIVADA;03/10/2022;4,99;;R$ / litro;SABBÁ
CO;MS;CAMPO GRANDE;AUTO POSTO E SERVICOS KAUE LTDA; 08.571.260/0001-29;AVENIDA MASCARENHAS DE MORAES;2838;;CORONEL ANTONINO;79011-340;GASOLINA;03/10/2022;4,65;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;AUTO POSTO E SERVICOS KAUE LTDA; 08.571.260/0001-29;AVENIDA MASCARENHAS DE MORAES;2838;;CORONEL ANTONINO;79011-340;ETANOL;03/10/2022;3,35;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;VITORIA COMERCIO E TRANSPORTES LTDA.; 02.422.918/0001-54;RUA GAL. BERTOLDO KLINGER;2616;;JARDIM FLUMINENSE;79116-020;GASOLINA;03/10/2022;4,69;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;POSTO F5 LTDA; 05.990.575/0001-12;RUA DR. EULER DE AZEVEDO;3,46;;VILA OESTE;79116-610;GASOLINA;03/10/2022;4,69;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;POSTO F5 LTDA; 05.990.575/0001-12;RUA DR. EULER DE AZEVEDO;3,46;;VILA OESTE;79116-610;ETANOL;03/10/2022;3,49;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;POSTO F5 LTDA; 05.990.575/0001-12;RUA DR. EULER DE AZEVEDO;3,46;;VILA OESTE;79116-610;GASOLINA ADITIVADA;03/10/2022;4,89;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;2M COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 04.338.803/0001-01;RUA MARQUES DE LEAO;1114;;CONJUNTO RESIDENCIAL NOVO PARANA;79034-520;GASOLINA;03/10/2022;4,83;;R$ / litro;SIMARELLI
CO;MS;CAMPO GRANDE;2M COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 04.338.803/0001-01;RUA MARQUES DE LEAO;1114;;CONJUNTO RESIDENCIAL NOVO PARANA;79034-520;ETANOL;03/10/2022;3,33;;R$ / litro;SIMARELLI
CO;MS;CAMPO GRANDE;2M COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 04.338.803/0001-01;RUA MARQUES DE LEAO;1114;;CONJUNTO RESIDENCIAL NOVO PARANA;79034-520;GASOLINA ADITIVADA;03/10/2022;4,99;;R$ / litro;SIMARELLI
CO;MS;CAMPO GRANDE;AUTO POSTO MILENIO LTDA; 01.332.532/0001-99;RUA BAHIA;1408;;VILA ROSA;79010-241;GASOLINA;03/10/2022;4,65;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;AUTO POSTO MILENIO LTDA; 01.332.532/0001-99;RUA BAHIA;1408;;VILA ROSA;79010-241;ETANOL;03/10/2022;3,35;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;AUTO POSTO MILENIO LTDA; 01.332.532/0001-99;RUA BAHIA;1408;;VILA ROSA;79010-241;GASOLINA ADITIVADA;03/10/2022;4,8;;R$ / litro;VIBRA ENERGIA
CO;MS;CAMPO GRANDE;AUTO POSTO SIRIUS LTDA; 01.195.522/0001-59;RUA VITORIO ZEOLLA;2222;;CARANDA BOSQUE II;79032-360;GASOLINA;03/10/2022;4,59;;R$ / litro;BRANCA
